,url,title,image,description,category,balance,currency,progress,project_id
56,https://www.indiegogo.com/projects/e-knee-your-customized-intelligent-knee-support--2/pica,E-Knee: Your Customized Intelligent Knee Support,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/nqfqq0yhwio8nakl9wfw.jpg",Custom Size | Real-time Support | Never Fall Off,FASHION & WEARABLES,"$1,685,384 ",HKD raised,"1,078%",https://www.indiegogo.com/projects/e-knee-your-customized-intelligent-knee-support--2/pica
57,https://www.indiegogo.com/projects/incharge-x-the-100w-swiss-army-knife-of-cables/pica,inCharge X - The 100W Swiss Army Knife of Cables,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/qghi9vqbp9l6dvvv9sux.jpg","The most crowdfunded cable EVER is back! Tiny, Universal, Ultra Powerful keyring cable.",PHONES & ACCESSORIES,"€593,469 ",EUR raised,"4,921%",https://www.indiegogo.com/projects/incharge-x-the-100w-swiss-army-knife-of-cables/pica
58,https://www.indiegogo.com/projects/the-smallest-240w-laptop-charger-with-pd-3-0/pica,The Smallest 240W Laptop Charger with PD 3.0,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/mtsitf6ozigmpjsmzxpe.jpg","The 240W GaN charger is the new addition to SlimQ GaN mini charger series, from 30W to 240W",PHONES & ACCESSORIES,"$70,780 ",USD raised,708%,https://www.indiegogo.com/projects/the-smallest-240w-laptop-charger-with-pd-3-0/pica
59,https://www.indiegogo.com/projects/cuddy-the-best-portable-composting-toilet/pica,"Cuddy, the best portable composting toilet","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/bmasb3c0eo8oyxloncrx.jpg",Going greener has never been easier.,TRAVEL & OUTDOORS,"$130,307 ",USD raised,130%,https://www.indiegogo.com/projects/cuddy-the-best-portable-composting-toilet/pica
60,https://www.indiegogo.com/projects/the-book--28/pica,The Book,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/d7tln1i9lmwwpmamrla9.jpg",The Ultimate Guide To Rebuilding A Civilization. Over 400 pages of detailed illustrations.,WRITING & PUBLISHING,"$2,596,776 ",USD raised,"29,334%",https://www.indiegogo.com/projects/the-book--28/pica
61,https://www.indiegogo.com/projects/ninebot-kickscooter-f-series-function-fashion-fun/pica,Ninebot KickScooter F Series: Function Fashion Fun,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/hrvt2j2bcylieq33adfl.jpg",18.6 mph* Top Speed | 25-Mile* Max Range | 20%* Hill Grade | 10-inch Pneumatic Tire | 3 Riding Modes,TRANSPORTATION,"$141,019 ",USD raised,"1,410%",https://www.indiegogo.com/projects/ninebot-kickscooter-f-series-function-fashion-fun/pica
62,https://www.indiegogo.com/projects/the-couch-console/pica,The Couch Console,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/urdkd1ec5tcdkc2qln2i.jpg","Cupholder, snack cup, phone stand, charging dock, remote tray, storage. All in a modular pack",HOME,"$2,657,785 ",USD raised,"15,867%",https://www.indiegogo.com/projects/the-couch-console/pica
63,https://www.indiegogo.com/projects/return-of-the-living-dead-ready-to-party/pica,Return of the Living Dead: Ready to Party!,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/zq3ueud4tudyznddgwtw.jpg","Help fund the website for official merch, new movie updates and more!",FILM,"$40,845 ",USD raised,355%,https://www.indiegogo.com/projects/return-of-the-living-dead-ready-to-party/pica
64,https://www.indiegogo.com/projects/return-of-the-living-dead-ready-to-party/pica,Return of the Living Dead: Ready to Party!,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/zq3ueud4tudyznddgwtw.jpg","Help fund the website for official merch, new movie updates and more!",FILM,"$40,845 ",USD raised,355%,https://www.indiegogo.com/projects/return-of-the-living-dead-ready-to-party/pica
65,https://www.indiegogo.com/projects/helium--5/pica,Helium,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/gon4dekoalbdbjchtdf0.jpg",Grumble Pup Theatre are bringing their debut show Helium to The Space in 2021!,DANCE & THEATER,£350 ,GBP raised,18%,https://www.indiegogo.com/projects/helium--5/pica
66,https://www.indiegogo.com/projects/kaiketsu/pica,Kaiketsu,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/jowad0nb5nbx0rg959yj.jpg",After the death of his master a samurai goes on a quest of revenge in hopes of finding inner peace,FILM,"$4,915 ",USD raised,98%,https://www.indiegogo.com/projects/kaiketsu/pica
